# ASCII DATA FILE: COLUMNS = 100, ROWS= 5
# Levy flight Xi estimation
# VARIABLES: r,	DD,	DR,	RR,	xi,	
# TYPES: float,	float,	float,	float,	float,	
0.599500	746292.000000	326199.000000	3235286.000000	22.050758	
1.598500	1281648.000000	1897894.000000	18967516.000000	5.755863	
2.597500	1783054.000000	4808696.000000	48147704.000000	2.705823	
3.596500	2299732.000000	8991312.000000	89933600.000000	1.557600	
4.595500	2889990.000000	14348607.000000	134217728.000000	1.015101	
5.594500	3523006.000000	20834796.000000	134217728.000000	0.520217	
6.593500	4199290.000000	28374508.000000	134217728.000000	-0.099416	
7.592500	5023172.000000	36878824.000000	134217728.000000	-0.752818	
8.591500	5837924.000000	46266848.000000	134217728.000000	-1.544705	
9.590500	6719498.000000	56400248.000000	134217728.000000	-2.397876	
10.589499	7671838.000000	66003912.000000	134217728.000000	-3.119385	
11.588500	8703992.000000	67108864.000000	134217728.000000	-2.515021	
12.587500	9799066.000000	67108864.000000	134217728.000000	-1.699127	
13.586500	10819984.000000	67108864.000000	134217728.000000	-0.938484	
14.585500	12004864.000000	67108864.000000	134217728.000000	-0.055679	
15.584500	13406506.000000	67108864.000000	134217728.000000	0.988625	
16.583500	14850030.000000	67108864.000000	134217728.000000	2.064135	
17.582500	16164378.000000	67108864.000000	134217728.000000	3.043400	
18.581501	17294938.000000	67108864.000000	134217728.000000	3.885733	
19.580502	18473414.000000	67108864.000000	134217728.000000	4.763766	
20.579500	19705406.000000	67108864.000000	134217728.000000	5.681672	
21.578501	20763996.000000	67108864.000000	134217728.000000	6.470383	
22.577501	21875048.000000	67108864.000000	134217728.000000	7.298181	
23.576502	22816232.000000	67108864.000000	134217728.000000	7.999417	
24.575500	23938852.000000	67108864.000000	134217728.000000	8.835835	
25.574501	25297018.000000	67108864.000000	134217728.000000	9.847747	
26.573502	26679564.000000	67108864.000000	134217728.000000	10.877824	
27.572500	28127652.000000	67108864.000000	134217728.000000	11.956734	
28.571501	29419874.000000	67108864.000000	134217728.000000	12.919515	
29.570501	31155438.000000	67108864.000000	134217728.000000	14.212610	
30.569502	32718248.000000	67108864.000000	134217728.000000	15.376994	
31.568501	34142948.000000	67108864.000000	134217728.000000	16.438478	
32.567501	35380376.000000	67108864.000000	134217728.000000	17.360434	
33.566498	36507228.000000	67108864.000000	134217728.000000	18.200005	
34.565498	37648688.000000	67108864.000000	134217728.000000	19.050459	
35.564499	38615440.000000	67108864.000000	134217728.000000	19.770744	
36.563499	39621560.000000	67108864.000000	134217728.000000	20.520363	
37.562500	40560416.000000	67108864.000000	134217728.000000	21.219864	
38.561501	41317588.000000	67108864.000000	134217728.000000	21.784002	
39.560501	41996236.000000	67108864.000000	134217728.000000	22.289635	
40.559498	42850396.000000	67108864.000000	134217728.000000	22.926033	
41.558498	43852132.000000	67108864.000000	134217728.000000	23.672384	
42.557499	44446544.000000	67108864.000000	134217728.000000	24.115255	
43.556499	45120732.000000	67108864.000000	134217728.000000	24.617565	
44.555500	45868540.000000	67108864.000000	134217728.000000	25.174725	
45.554501	46524208.000000	67108864.000000	134217728.000000	25.663237	
46.553501	47143280.000000	67108864.000000	134217728.000000	26.124481	
47.552498	47263384.000000	67108864.000000	134217728.000000	26.213964	
48.551498	47430080.000000	67108864.000000	134217728.000000	26.338163	
49.550499	47752408.000000	67108864.000000	134217728.000000	26.578316	
50.549500	48012100.000000	67108864.000000	134217728.000000	26.771803	
51.548500	47955572.000000	67108864.000000	134217728.000000	26.729685	
52.547501	48087264.000000	67108864.000000	134217728.000000	26.827805	
53.546501	48255000.000000	67108864.000000	134217728.000000	26.952776	
54.545498	48401652.000000	67108864.000000	134217728.000000	27.062040	
55.544498	48038772.000000	67108864.000000	134217728.000000	26.791674	
56.543499	47747508.000000	67108864.000000	134217728.000000	26.574665	
57.542500	47757376.000000	67108864.000000	134217728.000000	26.582018	
58.541500	47569084.000000	67108864.000000	134217728.000000	26.441729	
59.540501	46984592.000000	67108864.000000	134217728.000000	26.006248	
60.539501	46235316.000000	67108864.000000	134217728.000000	25.447994	
61.538498	45296168.000000	67108864.000000	134217728.000000	24.748276	
62.537498	44117420.000000	67108864.000000	134217728.000000	23.870039	
63.536499	42741740.000000	67108864.000000	134217728.000000	22.845078	
64.535500	41328048.000000	67108864.000000	134217728.000000	21.791796	
65.534500	39901192.000000	67108864.000000	134217728.000000	20.728704	
66.533501	38507272.000000	67108864.000000	134217728.000000	19.690153	
67.532501	36968848.000000	67108864.000000	134217728.000000	18.543938	
68.531502	35618704.000000	67108864.000000	134217728.000000	17.538002	
69.530502	34291584.000000	67108864.000000	134217728.000000	16.549221	
70.529503	32825888.000000	67108864.000000	134217728.000000	15.457192	
71.528503	30988450.000000	67108864.000000	134217728.000000	14.088195	
72.527504	29041326.000000	67108864.000000	134217728.000000	12.637474	
73.526505	26866954.000000	67108864.000000	134217728.000000	11.017441	
74.525505	24770102.000000	67108864.000000	134217728.000000	9.455164	
75.524506	22748082.000000	67108864.000000	134217728.000000	7.948642	
76.523506	20884894.000000	67108864.000000	134217728.000000	6.560459	
77.522507	19222896.000000	67108864.000000	134217728.000000	5.322174	
78.521507	17568312.000000	67108864.000000	134217728.000000	4.089413	
79.520500	16019348.000000	67108864.000000	134217728.000000	2.935344	
80.519501	14687902.000000	67108864.000000	134217728.000000	1.943340	
81.518501	13403702.000000	67108864.000000	134217728.000000	0.986536	
82.517502	12163184.000000	67108864.000000	134217728.000000	0.062278	
83.516502	11004862.000000	67108864.000000	134217728.000000	-0.800739	
